counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,193,13,109,12,20,90,4,1,94,8,0,78,4,0
NONE_MPOLY,15,3,11,2,9,13,2,0,12,2,0,11,4,0
SBX_MNUF,85,17,80,15,19,80,5,4,75,6,1,80,9,1
SBX_MPOLY,14,2,9,5,6,7,1,0,6,1,1,7,2,1
SBX_NONE,14,11,20,7,177,7,7,3,13,7,3,12,4,3
SPC_MNUF,99,8,87,6,8,70,3,0,76,4,1,71,4,1
SPC_MPOLY,3,3,4,3,1,7,0,0,6,2,0,5,1,0
SPC_NONE,0,1,1,0,3,1,0,0,1,0,0,0,1,0
TPC_MNUF,84,12,84,4,15,82,8,0,72,2,1,73,5,0
TPC_MPOLY,5,2,5,3,6,3,1,0,5,1,1,4,0,2
TPC_NONE,2,0,2,0,1,2,0,0,1,1,0,2,0,0
UC_MNUF,82,13,65,7,16,71,6,0,74,3,4,69,4,2
UC_MPOLY,3,0,5,2,8,5,0,0,4,2,0,5,1,0
UC_NONE,1,0,1,1,2,1,0,0,1,2,0,0,0,1
