Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,54,54
SPC_MSWAP,21,50
SPC_NONE,16,59
TPC_MPAR,4,61
TPC_MSWAP,4,61
TPC_NONE,0,48
UC_MPAR,0,63
UC_MSWAP,0,57
UC_NONE,1,47
NONE_MPAR,0,15
NONE_MSWAP,0,15
NONE_NONE,0,10
