Operator,Count
SPC_NONE,14
SPC_MPOLY,20
SPC_MNUF,18
TPC_MPOLY,10
TPC_MNUF,6
UC_NONE,7
UC_MNUF,10
TPC_NONE,10
UC_MPOLY,5
