State,Stationary_Probability
SBX_MPOLY,0.327769
TPC_MPOLY,0.130517
SPC_MPOLY,0.115041
UC_MPOLY,0.090867
SBX_MNUF,0.060972
TPC_MNUF,0.046571
SPC_MNUF,0.040890
NONE_MPOLY,0.040275
UC_MNUF,0.039462
TPC_NONE,0.032982
SBX_NONE,0.020486
UC_NONE,0.020405
NONE_MNUF,0.020339
SPC_NONE,0.013425
