State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,3,6,6,3,1
SPC_MPOLY,8,7,2,9,5
SPC_NONE,2,5,3,4,2
TPC_MNUF,5,6,2,2,4
TPC_MPOLY,1,7,3,1,2
