State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,8,6,4,4,5
SPC_MPOLY,8,5,2,4,5
SPC_NONE,6,4,3,2,2
TPC_MNUF,3,7,2,0,2
TPC_MPOLY,2,2,6,4,3
