State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,5,4,5,3,6
SPC_MPOLY,10,10,3,4,6
SPC_NONE,3,8,0,3,1
TPC_MNUF,3,5,4,1,1
TPC_MPOLY,2,6,2,3,1
