State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,7,9,3,3,1
SPC_MPOLY,8,5,3,4,7
SPC_NONE,2,3,2,5,4
TPC_MNUF,4,4,3,2,3
TPC_MPOLY,3,5,5,2,2
