State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,1,8,3,2,3
SPC_MPOLY,6,6,6,3,7
SPC_NONE,5,9,5,3,2
TPC_MNUF,2,2,6,2,1
TPC_MPOLY,4,3,4,2,4
