State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,10,9,2,6,2
SPC_MPOLY,6,7,5,4,4
SPC_NONE,3,5,2,4,1
TPC_MNUF,4,5,2,5,3
TPC_MPOLY,5,1,4,0,0
