State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,4,5,3,3,1
SPC_MPOLY,4,5,3,7,2
SPC_NONE,6,4,7,3,4
TPC_MNUF,2,3,10,5,2
TPC_MPOLY,0,4,2,4,6
