State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,7,9,4,3,6
SPC_MPOLY,7,2,2,3,9
SPC_NONE,7,4,1,2,1
TPC_MNUF,3,5,2,4,0
TPC_MPOLY,6,2,6,2,2
