State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,2,8,6,1,2
SPC_MPOLY,9,9,5,3,4
SPC_NONE,7,8,4,1,4
TPC_MNUF,1,3,2,2,3
TPC_MPOLY,1,2,6,4,2
