State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,3,4,2,6,2
SPC_MPOLY,5,7,4,7,3
SPC_NONE,3,6,3,2,5
TPC_MNUF,4,5,5,1,5
TPC_MPOLY,2,4,4,4,3
