State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,5,7,5,3,2
SPC_MPOLY,5,7,4,6,4
SPC_NONE,5,3,4,4,4
TPC_MNUF,4,3,3,2,3
TPC_MPOLY,2,6,4,1,3
