State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,4,3,4,5,7
SPC_MPOLY,3,4,6,3,6
SPC_NONE,6,6,1,3,2
TPC_MNUF,3,3,2,4,4
TPC_MPOLY,6,6,5,1,2
