State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,3,6,4,2,2
SPC_MPOLY,5,12,9,3,4
SPC_NONE,6,6,4,4,2
TPC_MNUF,3,5,2,2,3
TPC_MPOLY,1,3,3,4,1
