State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,2,8,5,2,4
SPC_MPOLY,7,6,3,1,9
SPC_NONE,5,3,3,2,3
TPC_MNUF,2,3,2,4,4
TPC_MPOLY,6,5,3,6,1
