State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,4,6,4,2,5
SPC_MPOLY,4,8,3,4,6
SPC_NONE,4,7,6,4,0
TPC_MNUF,3,3,3,0,4
TPC_MPOLY,6,2,5,2,4
