State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,6,7,3,2,4
SPC_MPOLY,5,7,4,3,9
SPC_NONE,5,5,1,4,1
TPC_MNUF,3,5,5,3,0
TPC_MPOLY,2,4,4,4,3
