State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,1,4,2,2,3
SPC_MPOLY,3,9,8,5,5
SPC_NONE,1,9,2,1,6
TPC_MNUF,3,5,5,1,1
TPC_MPOLY,4,3,1,6,9
