State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,7,5,2,3,7
SPC_MPOLY,6,8,2,3,4
SPC_NONE,4,4,0,2,5
TPC_MNUF,3,2,3,1,2
TPC_MPOLY,4,5,8,2,7
