State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,2,5,3,7,4
SPC_MPOLY,6,8,6,1,3
SPC_NONE,4,1,5,3,5
TPC_MNUF,2,5,2,5,4
TPC_MPOLY,6,5,2,2,3
