State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,3,6,5,4,4
SPC_MPOLY,9,12,4,3,3
SPC_NONE,8,4,2,2,3
TPC_MNUF,2,3,6,0,2
TPC_MPOLY,1,6,2,4,1
