State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,7,7,6,1,1
SPC_MPOLY,2,10,5,4,5
SPC_NONE,6,3,3,6,2
TPC_MNUF,2,2,3,2,5
TPC_MPOLY,5,5,3,1,3
