State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,7,4,4,0,3
SPC_MPOLY,2,11,7,5,6
SPC_NONE,3,8,2,5,1
TPC_MNUF,4,2,2,3,4
TPC_MPOLY,1,7,4,2,2
