State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,4,6,3,2,4
SPC_MPOLY,6,7,5,2,3
SPC_NONE,5,6,3,3,5
TPC_MNUF,1,0,4,2,5
TPC_MPOLY,2,5,7,3,6
