State,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY
SPC_MNUF,3,4,2,3,5
SPC_MPOLY,7,4,3,4,6
SPC_NONE,1,2,2,4,6
TPC_MNUF,2,7,4,7,1
TPC_MPOLY,4,8,4,3,3
