counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0,0,0,0,0,0,2,6,1,2,3,0,0,0
NONE_MPOLY,0,0,2,5,0,3,9,6,2,7,11,3,9,15
SBX_MNUF,0,0,0,4,0,3,3,3,1,3,7,0,3,5
SBX_MPOLY,2,6,2,21,4,1,15,23,4,16,31,6,16,46
SBX_NONE,0,0,0,1,0,1,1,3,1,2,5,0,1,4
SPC_MNUF,1,1,3,9,0,2,1,7,3,4,5,1,4,7
SPC_MPOLY,4,4,2,23,1,2,36,43,5,30,41,3,19,64
SPC_NONE,0,13,1,22,3,5,41,70,7,47,86,9,39,117
TPC_MNUF,1,2,4,3,1,3,6,11,5,4,7,7,2,6
TPC_MPOLY,0,8,3,18,4,4,30,54,7,24,35,0,29,65
TPC_NONE,1,18,5,24,4,10,36,89,5,47,115,11,46,123
UC_MNUF,2,2,3,4,1,4,3,8,3,4,7,9,4,11
UC_MPOLY,0,7,1,16,1,4,30,25,7,30,44,5,23,56
UC_NONE,3,12,2,38,1,6,64,113,7,62,139,13,56,148
