Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,68,68
SPC_MSWAP,13,62
SPC_NONE,3,61
TPC_MPAR,4,66
TPC_MSWAP,2,60
TPC_NONE,0,64
UC_MPAR,4,66
UC_MSWAP,0,67
UC_NONE,0,64
NONE_MPAR,6,83
NONE_MSWAP,0,76
NONE_NONE,0,76
