Execution,HD_P1,HD_P2,HD_BM,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT
1,0.125,0.5,0.125,0.2,0.1,0.12
2,0.125,0.25,0.0,0.05,0.0,0.18
3,0.25,0.125,0.0,0.1,0.0,0.23
4,0.0,0.0,0.25,0.0,0.05,0.3
5,0.375,0.0,0.125,0.05,0.05,0.11
6,0.375,0.125,0.0,0.1,0.0,0.17
7,0.125,0.0,0.125,0.0,0.05,0.46
8,0.25,0.125,0.0,0.05,0.0,0.2
9,0.125,0.375,-1.0,0.1,0.0,0.14
10,0.25,0.125,0.0,0.05,0.0,0.29
11,0.125,0.375,0.0,0.05,0.0,0.11
12,0.25,0.375,0.0,0.1,0.0,0.17
13,0.125,0.125,-1.0,0.05,0.0,0.25
14,0.0,0.25,0.125,0.05,0.15,0.08
15,0.25,0.125,0.0,0.05,0.0,0.18
16,0.25,0.0,0.125,0.0,0.05,0.41
17,0.375,0.25,-1.0,0.1,0.0,0.1
18,0.125,0.125,0.125,0.0,0.05,0.27
19,0.0,0.0,0.125,0.0,0.05,0.2
20,0.125,0.0,0.125,0.0,0.05,0.55
21,0.125,0.25,0.0,0.05,0.05,0.13
22,0.125,0.125,0.0,0.05,0.0,0.16
23,0.25,0.25,0.125,0.15,0.1,0.12
24,0.125,0.0,0.125,0.0,0.05,0.29
25,0.125,0.25,0.125,0.2,0.05,0.3
26,0.125,0.0,0.125,0.0,0.05,0.16
27,0.125,0.25,0.0,0.05,0.0,0.27
28,0.125,0.375,0.0,0.1,0.0,0.13
29,0.125,0.625,0.0,0.1,0.0,0.17
30,0.125,0.125,0.0,0.15,0.0,0.27
Mean,0.16666666666666666,0.18333333333333332,-0.041666666666666664,0.065,0.030000000000000006,0.21733333333333338
Std,0.09860132971832693,0.16051133570215184,0.32649230040266225,0.056494837522260984,0.03785938897200182,0.10847221866552847
