Operator,Count
SPC_MPOLY,11
TPC_MNUF,2
SPC_MNUF,3
SBX_MNUF,1
TPC_NONE,24
SPC_NONE,19
UC_NONE,13
UC_MPOLY,6
NONE_MPOLY,1
SBX_MPOLY,4
TPC_MPOLY,13
UC_MNUF,3
