MUT,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SPC_MPOLY,TPC_MPOLY,UC_MPOLY
NONE_MNUF,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
NONE_MPOLY,0.000000,0.053097,0.115044,0.690265,0.017699,0.070796,0.053097
SBX_MNUF,0.000000,0.035629,0.197150,0.714964,0.009501,0.016627,0.026128
SBX_MPOLY,0.000000,0.029372,0.137072,0.776591,0.015576,0.024032,0.017356
SPC_MPOLY,0.000000,0.080000,0.060000,0.800000,0.040000,0.020000,0.000000
TPC_MPOLY,0.000000,0.055556,0.069444,0.736111,0.041667,0.013889,0.083333
UC_MPOLY,0.000000,0.046154,0.138462,0.784615,0.015385,0.000000,0.015385
