State,Stationary_Probability
SBX_MPOLY,0.778157
SBX_MNUF,0.143345
TPC_MPOLY,0.027304
UC_MPOLY,0.020478
NONE_MPOLY,0.020478
SPC_MPOLY,0.010239
NONE_MNUF,0.000000
SPC_MNUF,0.000000
TPC_MNUF,0.000000
UC_MNUF,0.000000
