GO_Name,Mean_Stationary_Probability
SBX_MPOLY,0.764956
SBX_MNUF,0.142229
NONE_MPOLY,0.032562
TPC_MPOLY,0.023569
SPC_MPOLY,0.015501
UC_MPOLY,0.021183
NONE_MNUF,0.000000
SPC_MNUF,0.000000
TPC_MNUF,0.000000
UC_MNUF,0.000000
