counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SPC_MPOLY,TPC_MPOLY,UC_MPOLY
NONE_MNUF,0,0,0,2,0,0,0
NONE_MPOLY,0,6,13,78,2,8,6
SBX_MNUF,0,15,83,301,4,7,11
SBX_MPOLY,0,66,308,1745,35,54,39
SPC_MPOLY,0,4,3,40,2,1,0
TPC_MPOLY,0,4,5,53,3,1,6
UC_MPOLY,0,3,9,51,1,0,1
