counts,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SPC_MNUF,101,122,105,50,61,60,15,18,15
SPC_MPOLY,118,138,104,64,62,58,25,27,16
SPC_NONE,102,117,69,46,42,43,10,17,13
TPC_MNUF,57,48,44,45,53,43,12,22,14
TPC_MPOLY,61,70,47,40,66,44,13,17,9
TPC_NONE,47,65,42,43,46,31,14,14,13
UC_MNUF,16,21,16,18,9,12,5,4,2
UC_MPOLY,22,21,16,19,13,18,3,4,11
UC_NONE,18,14,16,14,15,9,5,5,6
