Operator,Count
NONE_MNUF,2
TPC_MNUF,8
SPC_MNUF,8
UC_MNUF,4
SBX_MNUF,5
SBX_MPOLY,4
SBX_NONE,33
TPC_MPOLY,4
SPC_MPOLY,3
NONE_MPOLY,4
UC_NONE,6
SPC_NONE,7
TPC_NONE,12
