Genetic_operators,Times_Used,Pareto_Appearances
NONE_MPAR,0,3
NONE_MSWAP,2,3
NONE_NONE,0,3
SPC_MPAR,0,4
SPC_MSWAP,0,3
SPC_NONE,0,2
TPC_MPAR,0,2
TPC_MSWAP,2,5
TPC_NONE,0,3
UC_MPAR,2,3
UC_MSWAP,3,4
UC_NONE,0,4
