counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,1,2,11,7,0,10,4,0,3,6,0,4,4,1
NONE_MPOLY,2,2,5,48,2,3,17,0,3,16,0,3,19,1
SBX_MNUF,0,3,26,50,2,16,19,0,10,15,0,11,16,0
SBX_MPOLY,11,36,43,274,8,27,159,1,25,122,2,33,117,1
SBX_NONE,0,2,1,9,2,1,12,0,2,6,0,3,2,0
SPC_MNUF,2,3,14,40,1,11,12,0,14,6,0,8,11,0
SPC_MPOLY,4,17,16,126,9,9,103,1,20,97,1,16,95,1
SPC_NONE,0,2,0,0,1,0,0,0,0,1,0,0,0,0
TPC_MNUF,1,3,10,29,0,18,8,1,7,12,0,7,12,0
TPC_MPOLY,3,21,14,141,8,7,97,0,9,74,1,6,63,1
TPC_NONE,0,1,0,2,0,0,1,0,0,1,1,0,0,0
UC_MNUF,4,4,14,25,2,12,10,0,6,17,0,13,8,1
UC_MPOLY,0,24,14,120,7,7,79,0,6,74,1,12,62,0
UC_NONE,0,1,0,1,0,0,0,1,0,1,0,0,2,1
