HV,NONE_MBFLIP,SPC_MBFLIP,SPC_NONE,TPC_MBFLIP,TPC_NONE,UC_MBFLIP,UC_NONE
NONE_MBFLIP,0.142857,0.047619,0.142857,0.047619,0.190476,0.142857,0.285714
SPC_MBFLIP,0.021739,0.141304,0.173913,0.108696,0.228261,0.086957,0.239130
SPC_NONE,0.000000,0.055249,0.204420,0.071823,0.353591,0.033149,0.281768
TPC_MBFLIP,0.018519,0.074074,0.277778,0.018519,0.259259,0.129630,0.222222
TPC_NONE,0.031746,0.063492,0.182540,0.075397,0.321429,0.059524,0.265873
UC_MBFLIP,0.018519,0.111111,0.166667,0.111111,0.148148,0.092593,0.351852
UC_NONE,0.024390,0.052846,0.264228,0.020325,0.296748,0.040650,0.300813
