DHV,NONE_MBFLIP,SPC_MBFLIP,SPC_NONE,TPC_MBFLIP,TPC_NONE,UC_MBFLIP,UC_NONE
NONE_MBFLIP,0.062500,0.137500,0.200000,0.162500,0.125000,0.087500,0.225000
SPC_MBFLIP,0.075000,0.218750,0.187500,0.106250,0.206250,0.062500,0.143750
SPC_NONE,0.130137,0.150685,0.054795,0.136986,0.267123,0.082192,0.178082
TPC_MBFLIP,0.092784,0.123711,0.113402,0.051546,0.226804,0.175258,0.216495
TPC_NONE,0.068571,0.114286,0.205714,0.148571,0.080000,0.120000,0.262857
UC_MBFLIP,0.122222,0.133333,0.200000,0.044444,0.244444,0.044444,0.211111
UC_NONE,0.092105,0.131579,0.223684,0.111842,0.263158,0.131579,0.046053
