MUT,NONE_MBFLIP,SPC_MBFLIP,TPC_MBFLIP,UC_MBFLIP
NONE_MBFLIP,0.264000,0.268000,0.256000,0.212000
SPC_MBFLIP,0.322449,0.236735,0.236735,0.204082
TPC_MBFLIP,0.272321,0.241071,0.290179,0.196429
UC_MBFLIP,0.270718,0.237569,0.243094,0.248619
