HV,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.033898,0.033898,0.118644,0.338983,0.118644,0.016949,0.101695,0.000000,0.050847,0.067797,0.033898,0.016949,0.067797,0.000000
NONE_MPOLY,0.000000,0.087719,0.061404,0.236842,0.114035,0.043860,0.131579,0.000000,0.035088,0.157895,0.000000,0.035088,0.087719,0.008772
SBX_MNUF,0.015152,0.018939,0.140152,0.367424,0.049242,0.049242,0.083333,0.003788,0.079545,0.049242,0.007576,0.034091,0.079545,0.022727
SBX_MPOLY,0.017068,0.032129,0.094378,0.399598,0.067269,0.033133,0.094378,0.001004,0.038153,0.090361,0.001004,0.037149,0.090361,0.004016
SBX_NONE,0.010309,0.020619,0.067010,0.335052,0.154639,0.030928,0.103093,0.010309,0.025773,0.113402,0.005155,0.025773,0.092784,0.005155
SPC_MNUF,0.021739,0.036232,0.152174,0.304348,0.079710,0.130435,0.072464,0.000000,0.028986,0.050725,0.000000,0.050725,0.065217,0.007246
SPC_MPOLY,0.021277,0.069909,0.063830,0.325228,0.042553,0.042553,0.130699,0.015198,0.030395,0.109422,0.009119,0.024316,0.103343,0.012158
SPC_NONE,0.058824,0.058824,0.058824,0.058824,0.000000,0.000000,0.176471,0.176471,0.000000,0.058824,0.000000,0.058824,0.176471,0.117647
TPC_MNUF,0.068966,0.008621,0.103448,0.267241,0.068966,0.094828,0.094828,0.000000,0.017241,0.137931,0.000000,0.060345,0.051724,0.025862
TPC_MPOLY,0.016722,0.053512,0.063545,0.321070,0.033445,0.040134,0.143813,0.000000,0.026756,0.117057,0.003344,0.033445,0.143813,0.003344
TPC_NONE,0.052632,0.000000,0.157895,0.052632,0.000000,0.052632,0.000000,0.000000,0.052632,0.157895,0.000000,0.157895,0.157895,0.157895
UC_MNUF,0.045455,0.027273,0.127273,0.327273,0.027273,0.054545,0.072727,0.000000,0.081818,0.063636,0.018182,0.072727,0.081818,0.000000
UC_MPOLY,0.010753,0.057348,0.053763,0.268817,0.064516,0.039427,0.179211,0.007168,0.025090,0.139785,0.010753,0.025090,0.100358,0.017921
UC_NONE,0.027778,0.055556,0.055556,0.111111,0.055556,0.083333,0.138889,0.083333,0.000000,0.166667,0.083333,0.027778,0.000000,0.111111
