counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,2,2,7,20,7,1,6,0,3,4,2,1,4,0
NONE_MPOLY,0,10,7,27,13,5,15,0,4,18,0,4,10,1
SBX_MNUF,4,5,37,97,13,13,22,1,21,13,2,9,21,6
SBX_MPOLY,17,32,94,398,67,33,94,1,38,90,1,37,90,4
SBX_NONE,2,4,13,65,30,6,20,2,5,22,1,5,18,1
SPC_MNUF,3,5,21,42,11,18,10,0,4,7,0,7,9,1
SPC_MPOLY,7,23,21,107,14,14,43,5,10,36,3,8,34,4
SPC_NONE,1,1,1,1,0,0,3,3,0,1,0,1,3,2
TPC_MNUF,8,1,12,31,8,11,11,0,2,16,0,7,6,3
TPC_MPOLY,5,16,19,96,10,12,43,0,8,35,1,10,43,1
TPC_NONE,1,0,3,1,0,1,0,0,1,3,0,3,3,3
UC_MNUF,5,3,14,36,3,6,8,0,9,7,2,8,9,0
UC_MPOLY,3,16,15,75,18,11,50,2,7,39,3,7,28,5
UC_NONE,1,2,2,4,2,3,5,3,0,6,3,1,0,4
