counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SPC_MPOLY,TPC_MPOLY,UC_MPOLY
NONE_MNUF,0,0,0,0,1,0,0
NONE_MPOLY,0,1,1,28,0,0,0
SBX_MNUF,0,2,354,473,0,1,1
SBX_MPOLY,0,13,476,1552,5,10,9
SPC_MPOLY,0,1,0,10,1,0,3
TPC_MPOLY,0,0,0,10,0,0,2
UC_MPOLY,0,1,0,14,1,0,0
