MUT,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SPC_MPOLY,TPC_MPOLY,UC_MPOLY
NONE_MNUF,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
NONE_MPOLY,0.000000,0.033333,0.033333,0.933333,0.000000,0.000000,0.000000
SBX_MNUF,0.000000,0.002407,0.425993,0.569194,0.000000,0.001203,0.001203
SBX_MPOLY,0.000000,0.006295,0.230508,0.751574,0.002421,0.004843,0.004358
SPC_MPOLY,0.000000,0.066667,0.000000,0.666667,0.066667,0.000000,0.200000
TPC_MPOLY,0.000000,0.000000,0.000000,0.833333,0.000000,0.000000,0.166667
UC_MPOLY,0.000000,0.062500,0.000000,0.875000,0.062500,0.000000,0.000000
