HV,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.142857,0.000000,0.714286,0.000000,0.000000,0.000000
NONE_MPOLY,0.000000,0.071429,0.035714,0.000000,0.000000,0.035714,0.071429,0.142857,0.000000,0.071429,0.214286,0.000000,0.000000,0.357143
SBX_MNUF,0.000000,0.000000,0.047619,0.095238,0.047619,0.000000,0.190476,0.095238,0.095238,0.000000,0.142857,0.142857,0.000000,0.142857
SBX_MPOLY,0.000000,0.027778,0.027778,0.069444,0.041667,0.000000,0.069444,0.138889,0.000000,0.055556,0.125000,0.013889,0.152778,0.277778
SBX_NONE,0.000000,0.032258,0.000000,0.032258,0.000000,0.000000,0.032258,0.225806,0.016129,0.048387,0.322581,0.000000,0.032258,0.258065
SPC_MNUF,0.000000,0.025641,0.025641,0.025641,0.000000,0.128205,0.051282,0.128205,0.153846,0.051282,0.128205,0.102564,0.025641,0.153846
SPC_MPOLY,0.000000,0.006897,0.006897,0.034483,0.006897,0.000000,0.089655,0.234483,0.006897,0.068966,0.172414,0.020690,0.089655,0.262069
SPC_NONE,0.001484,0.004451,0.000000,0.013353,0.022255,0.007418,0.034125,0.287834,0.019288,0.029674,0.256677,0.013353,0.050445,0.259644
TPC_MNUF,0.019231,0.000000,0.038462,0.019231,0.000000,0.076923,0.038462,0.192308,0.057692,0.000000,0.192308,0.076923,0.038462,0.250000
TPC_MPOLY,0.008065,0.008065,0.008065,0.032258,0.024194,0.008065,0.088710,0.225806,0.008065,0.104839,0.169355,0.016129,0.040323,0.258065
TPC_NONE,0.001364,0.008186,0.004093,0.019100,0.024557,0.006821,0.043656,0.218281,0.016371,0.036835,0.282401,0.009550,0.032742,0.296044
UC_MNUF,0.000000,0.000000,0.000000,0.046512,0.000000,0.093023,0.023256,0.116279,0.162791,0.000000,0.116279,0.023256,0.046512,0.372093
UC_MPOLY,0.007692,0.023077,0.000000,0.038462,0.023077,0.000000,0.069231,0.184615,0.015385,0.069231,0.215385,0.007692,0.053846,0.292308
UC_NONE,0.001190,0.008333,0.002381,0.017857,0.020238,0.015476,0.044048,0.223810,0.013095,0.038095,0.257143,0.013095,0.034524,0.310714
