counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SPC_MPOLY,TPC_MPOLY,UC_MPOLY
NONE_MNUF,0,1,0,0,0,0,0
NONE_MPOLY,0,6,13,75,4,0,3
SBX_MNUF,0,12,155,383,3,9,6
SBX_MPOLY,0,68,379,1599,33,40,29
SPC_MPOLY,0,1,7,38,2,1,2
TPC_MPOLY,0,0,11,41,0,3,1
UC_MPOLY,0,2,3,33,5,2,0
