CROSS,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SPC_MNUF,0.155556,0.217778,0.171111,0.086667,0.122222,0.111111,0.035556,0.037778,0.062222
SPC_MPOLY,0.159710,0.199637,0.186933,0.112523,0.114338,0.108893,0.039927,0.045372,0.032668
SPC_NONE,0.159915,0.204691,0.151386,0.106610,0.144989,0.098081,0.036247,0.053305,0.044776
TPC_MNUF,0.159884,0.191860,0.156977,0.107558,0.104651,0.101744,0.052326,0.072674,0.052326
TPC_MPOLY,0.127937,0.135770,0.109661,0.161880,0.148825,0.127937,0.052219,0.075718,0.060052
TPC_NONE,0.139319,0.164087,0.173375,0.117647,0.126935,0.117647,0.046440,0.046440,0.068111
UC_MNUF,0.221374,0.099237,0.137405,0.152672,0.145038,0.091603,0.053435,0.053435,0.045802
UC_MPOLY,0.117284,0.222222,0.123457,0.092593,0.148148,0.123457,0.043210,0.074074,0.055556
UC_NONE,0.146497,0.165605,0.133758,0.133758,0.159236,0.082803,0.063694,0.050955,0.063694
