counts,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SPC_MNUF,70,98,77,39,55,50,16,17,28
SPC_MPOLY,88,110,103,62,63,60,22,25,18
SPC_NONE,75,96,71,50,68,46,17,25,21
TPC_MNUF,55,66,54,37,36,35,18,25,18
TPC_MPOLY,49,52,42,62,57,49,20,29,23
TPC_NONE,45,53,56,38,41,38,15,15,22
UC_MNUF,29,13,18,20,19,12,7,7,6
UC_MPOLY,19,36,20,15,24,20,7,12,9
UC_NONE,23,26,21,21,25,13,10,8,10
