Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,14,57
SPC_MSWAP,16,52
TPC_MPAR,18,49
TPC_MSWAP,17,64
UC_MPAR,21,53
UC_MSWAP,14,54
