Crossover_type,Mutation_type,Accuracy,FLOPs,Num_Params,Operators,Accuracy_diff_pct_vs_HHSE_HHSE,FLOPs_diff_pct_vs_HHSE_HHSE,Num_Params_diff_pct_vs_HHSE_HHSE
SPC,MPAR,0.692799985,505519148,4472228,SPC_MPAR,-2.0639014001503715,16.60852116313053,-23.389322057474267
SPC,MSWAP,0.705600023,887885292,8496164,SPC_MSWAP,-0.25445305893854414,104.80923674648686,45.54197235715201
SPC,NONE,0.674399972,839132844,5121188,SPC_NONE,-4.664977506418631,93.56346912946591,-12.27243231983533
TPC,MPAR,0.67019999,634685164,3110436,TPC_MPAR,-5.258698436233026,46.40335320833183,-46.71724906314303
TPC,MSWAP,0.708599985,1077034476,4695076,TPC_MSWAP,0.1696297652373237,148.44043590623238,-19.571865443425075
TPC,NONE,0.716600001,1421811820,7703332,TPC_NONE,1.3005338829335367,227.97051181621936,31.960509825606533
UC,MPAR,0.7148,1188392940,8018980,UC_MPAR,1.0460808239949926,174.1275851614327,37.367659745333874
UC,MSWAP,0.711600006,749285420,6334884,UC_MSWAP,0.5937209298143783,72.83828931301956,8.518563438013267
UC,NONE,0.685599983,496267116,3351844,UC_NONE,-3.0817133531790764,14.474347267755233,-42.58185378795821
NONE,MPAR,0.685800016,769086508,3522980,NONE_MPAR,-3.053436141811618,77.4058227056439,-39.65024006424554
NONE,MSWAP,0.671599984,886818732,4984484,NONE_MSWAP,-5.060791459628228,104.56321246664741,-14.614215010130868
NONE,NONE,0.688000023,918037548,3222948,NONE_NONE,-2.7424371419020557,111.76448264726555,-44.78988297253462
HHSE,ACC,0.707400024,433518188,5837604,HHSE_ACC,0.0,0.0,0.0
