Operator,Count
TPC_MNUF,1
NONE_MPOLY,4
UC_NONE,19
TPC_MPOLY,15
SBX_MPOLY,3
SPC_NONE,20
SPC_MNUF,2
SPC_MPOLY,11
UC_MPOLY,7
TPC_NONE,16
UC_MNUF,2
