counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SPC_MNUF,SPC_MPOLY,TPC_MPOLY,UC_MPOLY
NONE_MNUF,0,0,0,0,0,0,1,0
NONE_MPOLY,0,8,9,83,0,1,2,2
SBX_MNUF,0,9,138,363,0,5,6,8
SBX_MPOLY,0,72,369,1685,0,26,20,38
SPC_MNUF,0,0,0,1,0,0,0,0
SPC_MPOLY,0,2,2,33,0,1,0,1
TPC_MPOLY,0,0,6,25,0,1,1,2
UC_MPOLY,0,2,5,40,0,1,2,0
