MUT,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SPC_MPOLY,TPC_MPOLY,UC_MPOLY
NONE_MNUF,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
NONE_MPOLY,0.000000,0.070866,0.094488,0.771654,0.031496,0.023622,0.007874
SBX_MNUF,0.000000,0.032110,0.211009,0.720183,0.009174,0.009174,0.018349
SBX_MPOLY,0.000000,0.035888,0.141781,0.776252,0.014621,0.015507,0.015950
SPC_MPOLY,0.000000,0.104167,0.062500,0.770833,0.020833,0.020833,0.020833
TPC_MPOLY,0.000000,0.081633,0.122449,0.734694,0.000000,0.061224,0.000000
UC_MPOLY,0.000000,0.078431,0.058824,0.745098,0.039216,0.058824,0.019608
