counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SPC_MPOLY,TPC_MPOLY,UC_MPOLY
NONE_MNUF,0,0,0,2,0,0,0
NONE_MPOLY,0,9,12,98,4,3,1
SBX_MNUF,0,14,92,314,4,4,8
SBX_MPOLY,0,81,320,1752,33,35,36
SPC_MPOLY,0,5,3,37,1,1,1
TPC_MPOLY,0,4,6,36,0,3,0
UC_MPOLY,0,4,3,38,2,3,1
