counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0,0,0,2,0,0,0,0,0,0,1,0,1,2
NONE_MPOLY,0,4,0,4,3,1,4,10,0,3,14,0,1,14
SBX_MNUF,0,0,1,9,2,7,1,6,4,2,2,4,3,11
SBX_MPOLY,0,10,6,15,13,4,11,33,4,12,51,4,14,48
SBX_NONE,0,2,1,6,5,3,7,16,3,3,19,2,7,21
SPC_MNUF,2,0,3,5,4,10,3,6,4,2,6,6,4,8
SPC_MPOLY,1,2,3,16,5,6,14,16,0,14,26,0,7,35
SPC_NONE,1,4,7,37,16,10,22,158,5,19,134,6,17,158
TPC_MNUF,0,1,3,2,0,2,2,7,2,2,11,2,6,9
TPC_MPOLY,0,4,2,13,2,0,7,22,0,4,37,3,5,37
TPC_NONE,0,8,3,46,17,7,33,134,10,39,151,7,33,170
UC_MNUF,1,0,6,9,2,1,1,6,5,1,5,2,5,8
UC_MPOLY,0,2,4,8,2,4,13,18,4,7,28,3,4,31
UC_NONE,1,21,10,45,24,12,27,165,12,26,175,10,20,161
