HV,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.000000,0.166667,0.333333
NONE_MPOLY,0.000000,0.068966,0.000000,0.068966,0.051724,0.017241,0.068966,0.172414,0.000000,0.051724,0.241379,0.000000,0.017241,0.241379
SBX_MNUF,0.000000,0.000000,0.019231,0.173077,0.038462,0.134615,0.019231,0.115385,0.076923,0.038462,0.038462,0.076923,0.057692,0.211538
SBX_MPOLY,0.000000,0.044444,0.026667,0.066667,0.057778,0.017778,0.048889,0.146667,0.017778,0.053333,0.226667,0.017778,0.062222,0.213333
SBX_NONE,0.000000,0.021053,0.010526,0.063158,0.052632,0.031579,0.073684,0.168421,0.031579,0.031579,0.200000,0.021053,0.073684,0.221053
SPC_MNUF,0.031746,0.000000,0.047619,0.079365,0.063492,0.158730,0.047619,0.095238,0.063492,0.031746,0.095238,0.095238,0.063492,0.126984
SPC_MPOLY,0.006897,0.013793,0.020690,0.110345,0.034483,0.041379,0.096552,0.110345,0.000000,0.096552,0.179310,0.000000,0.048276,0.241379
SPC_NONE,0.001684,0.006734,0.011785,0.062290,0.026936,0.016835,0.037037,0.265993,0.008418,0.031987,0.225589,0.010101,0.028620,0.265993
TPC_MNUF,0.000000,0.020408,0.061224,0.040816,0.000000,0.040816,0.040816,0.142857,0.040816,0.040816,0.224490,0.040816,0.122449,0.183673
TPC_MPOLY,0.000000,0.029412,0.014706,0.095588,0.014706,0.000000,0.051471,0.161765,0.000000,0.029412,0.272059,0.022059,0.036765,0.272059
TPC_NONE,0.000000,0.012158,0.004559,0.069909,0.025836,0.010638,0.050152,0.203647,0.015198,0.059271,0.229483,0.010638,0.050152,0.258359
UC_MNUF,0.019231,0.000000,0.115385,0.173077,0.038462,0.019231,0.019231,0.115385,0.096154,0.019231,0.096154,0.038462,0.096154,0.153846
UC_MPOLY,0.000000,0.015625,0.031250,0.062500,0.015625,0.031250,0.101562,0.140625,0.031250,0.054688,0.218750,0.023438,0.031250,0.242188
UC_NONE,0.001410,0.029619,0.014104,0.063470,0.033850,0.016925,0.038082,0.232722,0.016925,0.036671,0.246827,0.014104,0.028209,0.227080
