GO_Name,Mean_Stationary_Probability
SPC_NONE,0.125802
UC_NONE,0.182088
TPC_NONE,0.159171
SPC_MPOLY,0.096092
SBX_MPOLY,0.056744
UC_MPOLY,0.095432
TPC_MPOLY,0.090696
UC_MNUF,0.029878
NONE_MNUF,0.003864
TPC_MNUF,0.030971
NONE_MPOLY,0.017673
SBX_MNUF,0.009386
SBX_NONE,0.004389
SPC_MNUF,0.027828
