Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,77,77
SPC_MSWAP,13,77
SPC_NONE,7,85
TPC_MPAR,1,74
TPC_MSWAP,2,84
TPC_NONE,0,78
UC_MPAR,0,63
UC_MSWAP,0,73
UC_NONE,0,77
NONE_MPAR,0,39
NONE_MSWAP,0,47
NONE_NONE,0,7
