Operator,Count
SBX_MPOLY,2239
SBX_MNUF,529
NONE_MPOLY,105
UC_MPOLY,51
SPC_MPOLY,39
TPC_MPOLY,35
NONE_MNUF,1
SPC_MNUF,1
