HV,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.428571,0.071429,0.142857,0.214286,0.000000,0.000000,0.000000
NONE_MPOLY,0.000000,0.000000,0.027778,0.069444,0.000000,0.041667,0.125000,0.083333,0.027778,0.097222,0.152778,0.041667,0.125000,0.208333
SBX_MNUF,0.000000,0.000000,0.000000,0.125000,0.000000,0.093750,0.093750,0.093750,0.031250,0.093750,0.218750,0.000000,0.093750,0.156250
SBX_MPOLY,0.010363,0.031088,0.010363,0.108808,0.020725,0.005181,0.077720,0.119171,0.020725,0.082902,0.160622,0.031088,0.082902,0.238342
SBX_NONE,0.000000,0.000000,0.000000,0.052632,0.000000,0.052632,0.052632,0.157895,0.052632,0.105263,0.263158,0.000000,0.052632,0.210526
SPC_MNUF,0.020833,0.020833,0.062500,0.187500,0.000000,0.041667,0.020833,0.145833,0.062500,0.083333,0.104167,0.020833,0.083333,0.145833
SPC_MPOLY,0.014440,0.014440,0.007220,0.083032,0.003610,0.007220,0.129964,0.155235,0.018051,0.108303,0.148014,0.010830,0.068592,0.231047
SPC_NONE,0.000000,0.028261,0.002174,0.047826,0.006522,0.010870,0.089130,0.152174,0.015217,0.102174,0.186957,0.019565,0.084783,0.254348
TPC_MNUF,0.016129,0.032258,0.064516,0.048387,0.016129,0.048387,0.096774,0.177419,0.080645,0.064516,0.112903,0.112903,0.032258,0.096774
TPC_MPOLY,0.000000,0.028470,0.010676,0.064057,0.014235,0.014235,0.106762,0.192171,0.024911,0.085409,0.124555,0.000000,0.103203,0.231317
TPC_NONE,0.001873,0.033708,0.009363,0.044944,0.007491,0.018727,0.067416,0.166667,0.009363,0.088015,0.215356,0.020599,0.086142,0.230337
UC_MNUF,0.030769,0.030769,0.046154,0.061538,0.015385,0.061538,0.046154,0.123077,0.046154,0.061538,0.107692,0.138462,0.061538,0.169231
UC_MPOLY,0.000000,0.028112,0.004016,0.064257,0.004016,0.016064,0.120482,0.100402,0.028112,0.120482,0.176707,0.020080,0.092369,0.224900
UC_NONE,0.004518,0.018072,0.003012,0.057229,0.001506,0.009036,0.096386,0.170181,0.010542,0.093373,0.209337,0.019578,0.084337,0.222892
