counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,4,0,7,17,5,4,7,3,3,7,0,9,4,0
NONE_MPOLY,2,9,3,39,7,3,16,0,4,16,2,2,12,0
SBX_MNUF,3,5,55,109,16,17,18,0,19,17,2,19,10,0
SBX_MPOLY,26,40,101,376,44,53,93,3,50,92,2,35,72,4
SBX_NONE,5,10,13,44,14,9,16,1,9,13,1,6,6,0
SPC_MNUF,6,5,17,54,9,11,14,1,14,9,3,6,9,0
SPC_MPOLY,6,12,24,106,16,13,46,0,11,42,1,11,23,2
SPC_NONE,0,0,0,4,0,0,1,0,0,2,0,0,1,4
TPC_MNUF,5,4,13,50,9,14,19,0,15,9,1,17,7,3
TPC_MPOLY,5,13,20,86,6,9,45,0,11,35,4,10,36,1
TPC_NONE,1,0,0,7,0,2,3,1,2,0,2,0,2,7
UC_MNUF,6,3,18,25,8,15,8,1,13,11,0,12,12,4
UC_MPOLY,1,12,18,71,12,5,32,1,9,27,2,3,37,2
UC_NONE,0,3,1,4,2,0,0,1,4,2,7,2,1,5
